year,state_name, population , violent_crime , homicide , rape_legacyrevised , robbery , aggravated_assault , property_crime , burglary , larceny , motor_vehicle_theft 
1979,Total,"220,099,000","1,208,030","21,460","76,390","480,700","629,480","11,041,500","3,327,700","6,601,000","1,112,800"
1979,Alaska,"406,000","1,994",54,292,445,"1,203","23,193","5,616","15,076","2,501"
1979,Alabama,"3,769,000","15,578",496,"1,037","4,127","9,918","144,372","48,517","83,791","12,064"
1979,Arkansas,"2,180,000","7,984",198,595,"1,626","5,565","70,949","21,457","45,267","4,225"
1979,Arizona,"2,450,000","14,528",219,"1,120","4,305","8,884","177,977","48,916","116,976","12,085"
1979,California,"22,696,000","184,087","2,952","12,239","75,767","93,129","1,511,021","496,310","847,148","167,563"
1979,Colorado,"2,772,000","14,472",161,"1,472","4,353","8,486","180,984","49,741","117,898","13,345"
1979,Connecticut,"3,115,000","12,902",131,752,"6,021","5,998","167,131","48,229","96,997","21,905"
1979,District of Columbia,"656,000","10,553",180,489,"6,920","2,964","45,877","13,452","28,819","3,606"
1979,Delaware,"582,000","3,127",33,162,753,"2,179","34,853","8,890","23,081","2,882"
1979,Florida,"8,860,000","73,881","1,084","4,576","22,097","46,124","607,281","190,884","378,099","38,298"
1979,Georgia,"5,118,000","28,594",877,"2,216","10,939","14,562","248,641","81,579","145,758","21,304"
1979,Hawaii,"915,000","2,651",66,296,"1,688",601,"63,664","16,538","40,580","6,546"
1979,Iowa,"2,903,000","5,259",65,320,"1,457","3,417","119,620","26,768","85,023","7,829"
1979,Idaho,"905,000","2,613",49,186,392,"1,986","35,766","9,729","23,577","2,460"
1979,Illinois,"11,230,000","83,540","1,203","3,702","36,056","42,579","593,750","161,776","356,062","75,912"
1979,Indiana,"5,400,000","18,254",448,"1,681","7,167","8,958","230,223","63,176","143,666","23,381"
1979,Kansas,"2,369,000","8,376",130,626,"2,423","5,197","107,605","31,504","69,622","6,479"
1979,Kentucky,"3,527,000","8,748",335,719,"3,247","4,447","103,548","32,082","62,431","9,035"
1979,Louisiana,"4,026,000","27,229",682,"1,554","8,832","16,161","188,514","56,237","115,856","16,421"
