Transactions,Transactions Transaction Id,Transactions Gross Sales,Transactions Shipping,Transactions Tax,Transactions Discount,Transactions Total Sales ?,Transactions Refunds,Transactions Total Revenue ?,Transactions Net Revenue ?
             ,,,,,,,,,
                Day of Transaction,,,,,,,,,
             ,,,,,,,,,
            ,,,,,,,,,
3/10/2021,9N232121UY291384E,16,5,0,0,21,0,21,16
3/9/2021,4SU681840F659300K,31,8,0,0,39,0,39,31
3/9/2021,765570027S2481640,24,5,0,0,29,0,29,24
3/9/2021,5F3472696G562953D,20,29,0,0,49,0,49,20
3/8/2021,80J447700C748192A,22,5,0,0,27,0,27,22
3/8/2021,7U029979EX446103U,40,8,0,0,48,0,48,40
3/8/2021,72A25881F33123145,19,5,0,0,24,0,24,19
3/8/2021,1A345120D1027715L,168,22,0,0,190,0,190,168
3/8/2021,1PX17703JM6811145,54,14,0,0,68,0,68,54
3/8/2021,0G546238FM121972B,39,10,0,0,49,0,49,39
3/8/2021,5HD67162CX974794V,46,10,0,0,56,0,56,46
3/8/2021,82G7781604926321J,37.5,10,0,0,47.5,0,47.5,37.5
3/8/2021,2WY87696J36113017,123,18,0,0,141,0,141,123
3/7/2021,0MR22657S5444784F,28,10,0,0,38,0,38,28
3/7/2021,9GR60182WY328003R,31.5,8,0,0,39.5,0,39.5,31.5
3/6/2021,4WS318662J508272F,82.6,10,0,0,92.6,0,92.6,82.6
3/6/2021,03J363709W014372B,56,5,0,0,61,0,61,56
3/6/2021,4HL55572RU7548259,23.8,10,0,0,33.8,0,33.8,23.8
3/5/2021,1XE683877F784704D,38,23,0,0,61,0,61,38
3/5/2021,4BV19481LT0230734,31.5,23,0,0,54.5,0,54.5,31.5
3/5/2021,4G171229S9071794X,33.6,8,0,0,41.6,0,41.6,33.6
3/5/2021,35Y2366535352952M,31.5,5,0,0,36.5,0,36.5,31.5
3/5/2021,66A93160WF356081C,28,8,0,0,36,0,36,28
3/5/2021,53W26949MA6450133,61.6,10,0,0,71.6,0,71.6,61.6
3/4/2021,12003900A2783740B,118,37,0,0,155,0,155,118
3/3/2021,2SL97651LW501061X,80,8,0,0,88,0,88,80
3/2/2021,5G251030NY229582V,142,14,0,0,156,0,156,142
2/27/2021,9U00101970963464G,105,14,0,0,119,0,119,105
2/27/2021,8HY09200PB478523T,38,8,0,0,46,0,46,38
2/26/2021,9W865950A4173822K,103,10,0,0,113,0,113,103
2/26/2021,852385380V4580105,92,10,0,0,102,0,102,92
2/26/2021,5NU327777E433123U,36,5,0,0,41,0,41,36
2/26/2021,71C55408BJ1255739,148,5,0,0,153,0,153,148
2/26/2021,3PB16940BH573672R,78,5,0,0,83,0,83,78
2/26/2021,48B81338WY901320M,38,5,0,0,43,0,43,38
2/26/2021,5S113091SB8737147,38,5,0,0,43,0,43,38
2/26/2021,0G239901KG657073W,128,10,0,0,138,0,138,128
2/26/2021,2UD08089WS565764E,65,23,0,0,88,0,88,65
2/26/2021,94B14323L4038464P,105,10,0,0,115,0,115,105
2/26/2021,62C44550N60453646,128,10,0,0,138,0,138,128
2/26/2021,7VT615377C412574V,114,45,0,0,159,0,159,114
2/25/2021,08W955379X0212043,60,5,0,0,65,0,65,60
2/22/2021,9SF52929F0376182W,60,10,0,0,70,0,70,60
2/17/2021,6MT62744GY382261H,92,8,0,0,100,0,100,92
2/14/2021,73666456SB810192G,28,5,0,0,33,0,33,28
2/13/2021,5B9975636A776182H,45,5,0,0,50,0,50,45
2/13/2021,28D82145SB458810U,60,10,0,0,70,0,70,60
2/12/2021,5PL90913TG967553D,93,18,0,0,111,0,111,93
2/9/2021,57M469041Y841613V,40,5,0,0,45,0,45,40
2/8/2021,8D841617BT599214K,45,5,0,0,50,0,50,45
2/6/2021,9YH337184J6598104,28,5,0,0,33,0,33,28
2/6/2021,3V45977089259210T,70,8,0,0,78,0,78,70
2/5/2021,34P165066S946452G,48,5,0,0,53,0,53,48
2/5/2021,2XT691362Y957710E,58,8,0,0,66,0,66,58
2/5/2021,9C125472LY760832N,54,8,0,0,62,0,62,54
2/5/2021,19H77413983041848,38,10,0,0,48,0,48,38
2/5/2021,74F14623TK3640434,98,10,0,0,108,0,108,98
2/5/2021,4S822792BW986582B,128,10,0,0,138,0,138,128
2/5/2021,8N373236PN1929830,114,45,0,0,159,0,159,114
2/5/2021,81T30183XA093043S,54,29,0,0,83,0,83,54
2/5/2021,74D32384XF8296207,54,8,0,0,62,0,62,54
2/5/2021,26X996568J763081G,168,22,0,0,190,0,190,168
2/5/2021,60A73847RF078453M,86,10,0,0,96,0,96,86
2/5/2021,9R908758ES461631L,28,5,0,0,33,0,33,28
2/5/2021,7FJ46836E7303954H,128,10,0,0,138,0,138,128
2/5/2021,3R601721Y1558162M,58,29,0,0,87,0,87,58
2/4/2021,3JG30474AP7168432,45,10,0,0,55,0,55,45
2/3/2021,38J71536DR5211019,40,8,0,0,48,0,48,40
2/2/2021,8YV02364S0490715A,98,14,0,0,112,0,112,98
2/2/2021,4KB04027F66502936,78,10,0,0,88,0,88,78
1/31/2021,3RM27529L74727150,44,5,0,0,49,0,49,44
1/30/2021,3TK21240H67843524,98,29,0,0,127,0,127,98
1/29/2021,47P89924E73973306,60,5,0,0,65,0,65,60
1/24/2021,5LJ09796DW3640403,45,5,0,0,50,0,50,45
1/24/2021,6JF929981N692923N,40,5,0,0,45,0,45,40
1/22/2021,3PV29825YU116374N,44,5,0,0,49,0,49,44
1/22/2021,5CC08566M13351223,40,5,0,0,45,0,45,40
1/22/2021,68K2465405089153S,60,5,0,0,65,0,65,60
1/22/2021,3YY46768HW3406633,40,5,0,0,45,0,45,40
1/22/2021,33T0640172347812C,92,8,0,0,100,0,100,92
1/22/2021,08R62375N0027992W,74,8,0,0,82,0,82,74
1/22/2021,6JY36879A6338821K,65,10,0,0,75,0,75,65
1/22/2021,5CS18899W64692533,48,23,0,0,71,0,71,48
1/22/2021,9CT93315NR991063D,80,14,0,0,94,0,94,80
1/19/2021,8CS018979G214102X,78,8,0,0,86,0,86,78
1/18/2021,8F61560054796245R,45,5,0,0,50,0,50,45
1/17/2021,4H8103599X506571J,48,23,0,0,71,0,71,48
1/15/2021,77029098J72048938,88,8,0,0,96,0,96,88
1/15/2021,8RW88793MW514182C,128,10,0,0,138,0,138,128
1/15/2021,6E470926H3765062S,60,8,0,0,68,0,68,60
1/15/2021,67P1152964582245T,28,5,0,0,33,0,33,28
1/15/2021,3U645598EX059405W,113,10,0,0,123,0,123,113
1/15/2021,23P41105W79353921,128,8,0,0,136,0,136,128
1/15/2021,6AB72430RG7828736,353,18,0,0,371,0,371,353
1/15/2021,4GH11858021039533,68,8,0,0,76,0,76,68
1/13/2021,6TA32183BU893841Y,128,45,0,0,173,0,173,128
1/11/2021,6RP18601WE078283U,32,8,0,0,40,0,40,32
1/11/2021,6CJ89114EB952115P,60,5,0,0,65,0,65,60
1/10/2021,5C768589JG771593L,65,5,0,0,70,0,70,65
1/10/2021,3BY21840N5861593N,118,14,0,0,132,0,132,118
1/8/2021,2NJ46545NX5599129,148,10,0,0,158,0,158,148
1/8/2021,6A6402985T346512Y,60,5,0,0,65,0,65,60
1/8/2021,8521238550743521A,60,5,0,0,65,0,65,60
1/5/2021,8CH189861V405411N,45,5,0,0,50,0,50,45
1/2/2021,37B362510P7983829,118,5,0,0,123,0,123,118
1/2/2021,3NW59215AS486860E,65,5,0,0,70,0,70,65
12/31/2020,1R796379VR210945C,118,14,0,0,132,0,132,118
12/31/2020,7JT54487941629405,138,14,0,0,152,0,152,138
12/30/2020,7EF87572RF457462L,248,10,0,0,258,0,258,248
12/30/2020,4PX03500VS7301844,85,5,0,0,90,0,90,85
